1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01
1.000000000000000000e+00,2.000000000000000000e+00,2.304000000000000000e+03
1.000000000000000000e+00,3.000000000000000000e+00,1.205000000000000000e+03
1.000000000000000000e+00,4.000000000000000000e+00,1.242000000000000000e+03
1.000000000000000000e+00,5.000000000000000000e+00,1.219000000000000000e+03
1.000000000000000000e+00,6.000000000000000000e+00,1.126000000000000000e+03
2.000000000000000000e+00,1.000000000000000000e+00,2.094000000000000000e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+00,1.190000000000000000e+03
2.000000000000000000e+00,4.000000000000000000e+00,1.008000000000000000e+03
2.000000000000000000e+00,5.000000000000000000e+00,1.095000000000000000e+03
2.000000000000000000e+00,6.000000000000000000e+00,1.009000000000000000e+03
3.000000000000000000e+00,1.000000000000000000e+00,9.800000000000000000e+02
3.000000000000000000e+00,2.000000000000000000e+00,1.362000000000000000e+03
3.000000000000000000e+00,3.000000000000000000e+00,2.275000000000000000e+03
3.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+00,1.002000000000000000e+03
3.000000000000000000e+00,6.000000000000000000e+00,1.398000000000000000e+03
4.000000000000000000e+00,1.000000000000000000e+00,1.112000000000000000e+03
4.000000000000000000e+00,2.000000000000000000e+00,1.174000000000000000e+03
4.000000000000000000e+00,3.000000000000000000e+00,2.700000000000000000e+01
4.000000000000000000e+00,4.000000000000000000e+00,2.232000000000000000e+03
4.000000000000000000e+00,5.000000000000000000e+00,1.300000000000000000e+03
4.000000000000000000e+00,6.000000000000000000e+00,9.150000000000000000e+02
5.000000000000000000e+00,1.000000000000000000e+00,1.097000000000000000e+03
5.000000000000000000e+00,2.000000000000000000e+00,1.245000000000000000e+03
5.000000000000000000e+00,3.000000000000000000e+00,1.648000000000000000e+03
5.000000000000000000e+00,4.000000000000000000e+00,5.900000000000000000e+02
5.000000000000000000e+00,5.000000000000000000e+00,2.083000000000000000e+03
5.000000000000000000e+00,6.000000000000000000e+00,1.490000000000000000e+02
6.000000000000000000e+00,1.000000000000000000e+00,1.088000000000000000e+03
6.000000000000000000e+00,2.000000000000000000e+00,1.200000000000000000e+03
6.000000000000000000e+00,3.000000000000000000e+00,7.020000000000000000e+02
6.000000000000000000e+00,4.000000000000000000e+00,1.532000000000000000e+03
6.000000000000000000e+00,5.000000000000000000e+00,7.800000000000000000e+01
6.000000000000000000e+00,6.000000000000000000e+00,2.269000000000000000e+03
