1.000000000000000000e+00,1.000000000000000000e+00,7.350000000000000000e+02
1.000000000000000000e+00,2.000000000000000000e+00,1.953000000000000000e+03
1.000000000000000000e+00,3.000000000000000000e+00,8.260000000000000000e+02
1.000000000000000000e+00,4.000000000000000000e+00,1.873000000000000000e+03
1.000000000000000000e+00,5.000000000000000000e+00,3.370000000000000000e+02
1.000000000000000000e+00,6.000000000000000000e+00,2.362000000000000000e+03
2.000000000000000000e+00,1.000000000000000000e+00,1.439000000000000000e+03
2.000000000000000000e+00,2.000000000000000000e+00,9.450000000000000000e+02
2.000000000000000000e+00,3.000000000000000000e+00,1.852000000000000000e+03
2.000000000000000000e+00,4.000000000000000000e+00,6.370000000000000000e+02
2.000000000000000000e+00,5.000000000000000000e+00,2.275000000000000000e+03
2.000000000000000000e+00,6.000000000000000000e+00,1.670000000000000000e+02
3.000000000000000000e+00,1.000000000000000000e+00,2.113000000000000000e+03
3.000000000000000000e+00,2.000000000000000000e+00,2.150000000000000000e+02
3.000000000000000000e+00,3.000000000000000000e+00,1.212000000000000000e+03
3.000000000000000000e+00,4.000000000000000000e+00,8.920000000000000000e+02
3.000000000000000000e+00,5.000000000000000000e+00,5.990000000000000000e+02
3.000000000000000000e+00,6.000000000000000000e+00,1.624000000000000000e+03
4.000000000000000000e+00,1.000000000000000000e+00,1.940000000000000000e+02
4.000000000000000000e+00,2.000000000000000000e+00,2.709000000000000000e+03
4.000000000000000000e+00,3.000000000000000000e+00,1.382000000000000000e+03
4.000000000000000000e+00,4.000000000000000000e+00,1.561000000000000000e+03
4.000000000000000000e+00,5.000000000000000000e+00,2.038000000000000000e+03
4.000000000000000000e+00,6.000000000000000000e+00,9.140000000000000000e+02
5.000000000000000000e+00,1.000000000000000000e+00,7.080000000000000000e+02
5.000000000000000000e+00,2.000000000000000000e+00,2.027000000000000000e+03
5.000000000000000000e+00,3.000000000000000000e+00,2.581000000000000000e+03
5.000000000000000000e+00,4.000000000000000000e+00,3.180000000000000000e+02
5.000000000000000000e+00,5.000000000000000000e+00,8.920000000000000000e+02
5.000000000000000000e+00,6.000000000000000000e+00,1.801000000000000000e+03
6.000000000000000000e+00,1.000000000000000000e+00,1.351000000000000000e+03
6.000000000000000000e+00,2.000000000000000000e+00,1.050000000000000000e+03
6.000000000000000000e+00,3.000000000000000000e+00,1.540000000000000000e+02
6.000000000000000000e+00,4.000000000000000000e+00,2.327000000000000000e+03
6.000000000000000000e+00,5.000000000000000000e+00,1.706000000000000000e+03
6.000000000000000000e+00,6.000000000000000000e+00,7.870000000000000000e+02
