1.000000000000000000e+00,1.000000000000000000e+00,3.570000000000000000e+02
1.000000000000000000e+00,2.000000000000000000e+00,2.651000000000000000e+03
1.000000000000000000e+00,3.000000000000000000e+00,1.755000000000000000e+03
1.000000000000000000e+00,4.000000000000000000e+00,1.182000000000000000e+03
1.000000000000000000e+00,5.000000000000000000e+00,5.270000000000000000e+02
1.000000000000000000e+00,6.000000000000000000e+00,2.503000000000000000e+03
2.000000000000000000e+00,1.000000000000000000e+00,1.823000000000000000e+03
2.000000000000000000e+00,2.000000000000000000e+00,4.790000000000000000e+02
2.000000000000000000e+00,3.000000000000000000e+00,7.480000000000000000e+02
2.000000000000000000e+00,4.000000000000000000e+00,1.633000000000000000e+03
2.000000000000000000e+00,5.000000000000000000e+00,1.930000000000000000e+03
2.000000000000000000e+00,6.000000000000000000e+00,3.600000000000000000e+02
3.000000000000000000e+00,1.000000000000000000e+00,4.560000000000000000e+02
3.000000000000000000e+00,2.000000000000000000e+00,2.454000000000000000e+03
3.000000000000000000e+00,3.000000000000000000e+00,1.717000000000000000e+03
3.000000000000000000e+00,4.000000000000000000e+00,1.068000000000000000e+03
3.000000000000000000e+00,5.000000000000000000e+00,2.142000000000000000e+03
3.000000000000000000e+00,6.000000000000000000e+00,5.300000000000000000e+02
4.000000000000000000e+00,1.000000000000000000e+00,1.674000000000000000e+03
4.000000000000000000e+00,2.000000000000000000e+00,6.260000000000000000e+02
4.000000000000000000e+00,3.000000000000000000e+00,7.420000000000000000e+02
4.000000000000000000e+00,4.000000000000000000e+00,1.744000000000000000e+03
4.000000000000000000e+00,5.000000000000000000e+00,3.250000000000000000e+02
4.000000000000000000e+00,6.000000000000000000e+00,2.101000000000000000e+03
5.000000000000000000e+00,1.000000000000000000e+00,6.120000000000000000e+02
5.000000000000000000e+00,2.000000000000000000e+00,2.343000000000000000e+03
5.000000000000000000e+00,3.000000000000000000e+00,2.880000000000000000e+02
5.000000000000000000e+00,4.000000000000000000e+00,2.642000000000000000e+03
5.000000000000000000e+00,5.000000000000000000e+00,1.332000000000000000e+03
5.000000000000000000e+00,6.000000000000000000e+00,1.596000000000000000e+03
6.000000000000000000e+00,1.000000000000000000e+00,1.525000000000000000e+03
6.000000000000000000e+00,2.000000000000000000e+00,8.570000000000000000e+02
6.000000000000000000e+00,3.000000000000000000e+00,2.227000000000000000e+03
6.000000000000000000e+00,4.000000000000000000e+00,1.200000000000000000e+02
6.000000000000000000e+00,5.000000000000000000e+00,1.174000000000000000e+03
6.000000000000000000e+00,6.000000000000000000e+00,1.347000000000000000e+03
